week             USD       GBP       JPY
----------------------------------------
2024-W01      1.0937    0.8640  157.0800
2024-W02      1.0952    0.8604  158.7460
2024-W03      1.0893    0.8591  160.4040
2024-W04      1.0886    0.8550  160.7440
2024-W05      1.0841    0.8539  159.7660
2024-W06      1.0759    0.8544  160.1080
2024-W07      1.0758    0.8540  161.2200
2024-W08      1.0813    0.8554  162.3840
2024-W09      1.0831    0.8558  162.9280
2024-W10      1.0879    0.8545  162.1960
2024-W11      1.0920    0.8539  161.4760
2024-W12      1.0864    0.8558  163.8240
2024-W13      1.0829    0.8571  163.7875
